cell_id,centroid_lat,centroid_lng,mean_probability,max_probability,bucket_count,observed_positive_buckets
2398_18029,40.71127037415478,-73.82056434743842,0.42772327172808994,0.6284746520323077,46,6
2376_18078,40.82225167999472,-73.88382066550795,0.4260041506461157,0.697364782615354,59,1
2322_17981,40.605259078392265,-74.04700701824872,0.42509972291767334,0.6185628960539605,57,7
2361_18086,40.84068714768093,-73.92799226782616,0.42183342796802564,0.578909906930733,66,7
2362_18071,40.80688357826848,-73.92557259575081,0.42035540061715204,0.5801499310717945,68,0
2381_18084,40.83561745495023,-73.86877070230317,0.4172336041619713,0.5975731114104084,51,0
2389_18042,40.74081166358809,-73.84669106688155,0.4170337740292804,0.5310954450449004,102,9
2360_18076,40.818197325380815,-73.93131883245688,0.41601738282390166,0.5702858586286123,58,2
2361_18063,40.78889718288499,-73.92882567308585,0.40937842390417895,0.6399422863551537,42,13
2396_18059,40.77888126798701,-73.82529442313586,0.4092708923408735,0.6202503147642542,46,3
2339_18024,40.70166320955262,-73.9953273915537,0.40885947998586614,0.5568458620012167,68,2
2396_18031,40.71583409304922,-73.82640345628998,0.4061250809211469,0.5811702319054418,139,8
2369_18036,40.727877659048495,-73.90612180743268,0.4043587391481009,0.613179834791805,73,6
2360_18074,40.813693846749175,-73.9313911062005,0.40346777602447265,0.6397731930659211,62,3
2394_18095,40.86000120127942,-73.82979476369754,0.39787639817500337,0.5714557910344219,52,2
2323_17982,40.60748656035904,-74.04402030265234,0.3936391079111543,0.6474056161145652,72,10
2391_18043,40.743004041450575,-73.84073112271399,0.39262422409851994,0.5391383987868326,62,0
2360_18081,40.82945600606748,-73.93113807653818,0.3912879814781598,0.5346207846494285,93,9
2364_18039,40.73477226949111,-73.92081228305089,0.3908201613999903,0.5971771571238174,91,8
2391_18053,40.76552098043848,-73.84033989793755,0.39065102357529896,0.5464738117359367,58,2
2358_18034,40.72367809113715,-73.93875266548679,0.38614490986012057,0.6864748124477915,88,2
2392_18042,40.74072256813793,-73.83780980448434,0.38283602083246926,0.5059691119547114,65,1
2359_18034,40.72365083923539,-73.93579290726869,0.38100936720871487,0.5245849973102548,86,14
2398_18042,40.74054232762362,-73.82004739965087,0.37801320845275316,0.5406153087279263,82,8
2371_18048,40.75484234285585,-73.89975678585068,0.37783812387957005,0.5679589133893552,72,5
2365_18055,40.7707726129844,-73.917267699969,0.37419568472903597,0.5900365783384035,71,3
2363_18039,40.73479991167318,-73.92377251958438,0.37256467337654103,0.5477206918290303,81,7
2354_18031,40.717030967730174,-73.95069783490524,0.3688819757830065,0.5543752693061248,63,7
2429_18052,40.76208356460479,-73.72784849178554,0.3674447202762464,0.4964559952447016,55,6
2385_18040,40.73642596621209,-73.85860979729985,0.3634670052201199,0.5181435916482564,78,0
2386_18040,40.73639665192434,-73.8556495541235,0.3631192557081017,0.5499719890550113,37,1
2347_18036,40.728476460692,-73.97124091574189,0.3624321482164939,0.5088014617343076,61,0
2382_18025,40.70273751995516,-73.86806290531571,0.3614590082242458,0.6374105055697246,50,0
2371_18088,40.844911202226655,-73.89826841158195,0.36119889268694877,0.5161526146510315,59,0
2344_18022,40.69702986146506,-73.9806019107827,0.35980695253236933,0.4564680615141919,85,12
2326_17983,40.60966474079609,-74.03512375704831,0.35762130769188755,0.4815543131337549,93,10
