cell_id,target_track,hotspot_score,bucket_count,observed_positive_buckets,top_features,cause_summary,feature_1,feature_1_display_name,feature_1_mean_shap,feature_1_mean_abs_shap,feature_2,feature_2_display_name,feature_2_mean_shap,feature_2_mean_abs_shap,feature_3,feature_3_display_name,feature_3_mean_shap,feature_3_mean_abs_shap
2356_18090,all_crash,0.9207727528571429,119,84,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.21517727597469744,0.21517727597469744,is_night,nighttime conditions,0.10413481648807879,0.12266766012821827,rolling_recent_crash_count,recent crash recurrence,0.06966358102080306,0.07111773960921974
2357_18090,all_crash,0.9204706893103448,116,79,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.2020791642131214,0.2020791642131214,is_night,nighttime conditions,0.10072661691196301,0.1206422748891036,rolling_recent_crash_count,recent crash recurrence,0.06452803305405332,0.06512813128136134
2366_18095,all_crash,0.920175556557377,61,20,"historic_cell_crash_total, is_night, prior_cell_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and prior crash history.",historic_cell_crash_total,long-run cell crash volume,0.2008686821808063,0.2008686821808063,is_night,nighttime conditions,0.0574978620954914,0.08165305222606531,prior_cell_crash_count,prior crash history,0.04820224921862616,0.04820224921862616
2358_18089,all_crash,0.9181759625,80,51,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.2147538764425355,0.2147538764425355,is_night,nighttime conditions,0.11737270674377838,0.13693503845686286,rolling_recent_crash_count,recent crash recurrence,0.05380222042089634,0.05532696117462212
2399_18026,all_crash,0.9179812046067416,89,41,"historic_cell_crash_total, is_night, prior_cell_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and prior crash history.",historic_cell_crash_total,long-run cell crash volume,0.2057555365862339,0.2057555365862339,is_night,nighttime conditions,0.09965370196329308,0.12210811163024632,prior_cell_crash_count,prior crash history,0.041146022265910756,0.041146022265910756
2389_18042,all_crash,0.9162241983333334,102,61,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.21783869611249645,0.21783869611249645,is_night,nighttime conditions,0.05428695801190422,0.07705867233895024,rolling_recent_crash_count,recent crash recurrence,0.051378817449108105,0.05243172569106482
2360_18073,all_crash,0.9150536486813188,91,32,"historic_cell_crash_total, prior_cell_crash_count, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, prior crash history, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.22096490940471142,0.22096490940471142,prior_cell_crash_count,prior crash history,0.05078959768913323,0.05078959768913323,rolling_recent_crash_count,recent crash recurrence,0.045345795703157075,0.05109952837697581
2361_18036,all_crash,0.9130947091891891,74,34,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.19104049159242906,0.19104049159242906,is_night,nighttime conditions,0.059360453543397515,0.08490171674726789,rolling_recent_crash_count,recent crash recurrence,0.036347577857826,0.03799208818993006
2360_18076,all_crash,0.9121725387931034,58,27,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.21579852836377136,0.21579852836377136,is_night,nighttime conditions,0.047746465725545265,0.07214396225534048,rolling_recent_crash_count,recent crash recurrence,0.046087794279515086,0.04809622324124369
2360_18080,all_crash,0.9095730812790698,86,41,"historic_cell_crash_total, is_night, prior_cell_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and prior crash history.",historic_cell_crash_total,long-run cell crash volume,0.2073149121828782,0.2073149121828782,is_night,nighttime conditions,0.07821096194818465,0.10024429045300401,prior_cell_crash_count,prior crash history,0.04773991369832212,0.04773991369832212
2353_18052,all_crash,0.9061677283908046,87,44,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.20502789676549163,0.20502789676549163,is_night,nighttime conditions,0.09561757298705582,0.11818024439726457,rolling_recent_crash_count,recent crash recurrence,0.04109124171579204,0.04431438932617263
2360_18082,all_crash,0.905231634516129,62,31,"historic_cell_crash_total, is_night, rolling_recent_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and recent crash recurrence.",historic_cell_crash_total,long-run cell crash volume,0.2036496515336095,0.2036496515336095,is_night,nighttime conditions,0.13388356826149075,0.15455759675490705,rolling_recent_crash_count,recent crash recurrence,0.04337947546601516,0.04524532083217449
2408_18042,all_crash,0.9042380360000001,75,31,"historic_cell_crash_total, is_night, prior_cell_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and prior crash history.",historic_cell_crash_total,long-run cell crash volume,0.21503423881517902,0.21503423881517902,is_night,nighttime conditions,0.03901721785777933,0.06428732957707083,prior_cell_crash_count,prior crash history,0.04772522550491601,0.04772522550491601
2339_18024,all_crash,0.9041600004411764,68,29,"historic_cell_crash_total, is_night, prior_cell_crash_count","High predicted risk is mainly driven by long-run cell crash volume, nighttime conditions, and prior crash history.",historic_cell_crash_total,long-run cell crash volume,0.20905215334888497,0.20905215334888497,is_night,nighttime conditions,0.07332892562341041,0.09631701171950145,prior_cell_crash_count,prior crash history,0.04464339286690856,0.04464339286690856
